"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
Stretford and Urmston,E14000979,50,"24,108",4.9,"29,634",7.0,"9,787","14,899","16,812","17,752","20,662","28,180","32,522","35,753",x,x,,,,,,,,
Tatton,E14000987,47,"26,390",4.2,"33,011",0.3,x,"14,682","16,884","19,580","22,798","30,759","35,763","39,961",x,x,,,,,,,,
Wallasey,E14001010,17,"18,516",-0.2,"21,292",-0.2,"6,853","8,856",x,"12,312","16,637","21,963","26,965",x,x,x,,,,,,,,
Warrington North,E14001017,67,"23,525",-4.4,"27,364",-2.6,"7,806","13,970","16,758","17,879","20,878","27,061","31,184","33,742","37,456",x,,,,,,,,
Warrington South,E14001018,46,"24,303",1.5,"29,021",6.3,"7,387","12,314","14,649","17,312","21,598","29,071","34,530","37,077","40,705",x,,,,,,,,
Weaver Vale,E14001024,37,"24,570",4.3,"34,000",10.1,"9,447","13,344","16,048","17,667","21,229","28,535","40,179","44,065","47,860",x,,,,,,,,
West Lancashire,E14001033,31,"24,107",5.7,"28,030",-0.5,x,"13,136","14,867","17,079","19,688","27,656","32,936","38,281","41,722",x,,,,,,,,
Westmorland and Lonsdale,E14001037,28,"21,019",,"24,622",-4.4,"9,195","13,483","15,377","16,886","18,689",x,x,x,x,x,,,,,,,,
Wigan,E14001039,36,"22,400",2.6,"24,632",0.4,"6,636","11,329","14,209","15,793","18,956","25,713","28,668","31,726","34,558",x,,,,,,,,
Wirral South,E14001043,22,"22,392",2.6,"28,239",17.6,"7,372","11,413","13,135","14,346","17,781","25,518","29,527","32,486",x,x,,,,,,,,
Wirral West,E14001044,13,"20,253",1.9,"24,403",4.8,x,"10,532","12,065","13,019","15,565","24,045",x,x,x,x,,,,,,,,
Workington,E14001053,21,"18,234",-2.0,"21,722",-0.2,x,"8,695","10,874","12,795","16,305","22,626","26,426","30,544",x,x,,,,,,,,
Worsley and Eccles South,E14001054,x,x,,"23,550",,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Wyre and Preston North,E14001057,34,"21,364",-11.2,"25,856",-6.8,"7,282","12,251","14,475","15,824","18,454","24,755","28,807","30,541","33,618",x,,,,,,,,
Wythenshawe and Sale East,E14001059,51,"24,868",-0.6,"30,812",4.9,x,x,x,x,"21,576",x,x,x,x,x,,,,,,,,
Yorkshire and The Humber,E12000003,"1,810","22,973",5.4,"26,786",4.5,"7,982","12,313","14,455","16,458","19,516","26,627","31,172","33,943","37,098","46,992",,,,,,,,
Barnsley Central,E14000541,35,"22,045",3.3,"25,600",1.9,"7,361","12,732","14,542","16,231","18,849","26,084","30,760","33,061","37,747",x,,,,,,,,
Barnsley East,E14000542,17,"21,197",13.3,"23,022",7.0,x,"10,083","12,144","13,057","17,475","24,609","28,009","31,653",x,x,,,,,,,,
Batley and Spen,E14000548,x,x,,"22,791",9.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Beverley and Holderness,E14000556,27,"22,012",-1.1,"25,744",9.1,"8,043","10,842","12,126","14,143","18,237","25,681","31,091","35,467",x,x,,,,,,,,
Bradford East,E14000587,25,x,,"27,770",1.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Bradford South,E14000588,x,"22,189",4.9,"23,726",0.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
