,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 4 January 2021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2019-Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,mnemonic,Numerator,Denominator,% all in employment who work in - A:agriculture and fishing (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - B,D,E:energy and water (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - C:manufacturing (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - F:construction (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - G,I:distribution, hotels and restaurants (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - H,J:transport and communications (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - K-N:banking, finance and insurance (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - O-Q:public admin. education and health (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - R-U:other services (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - G-U:total services (SIC 2007),Conf
pca10:Stoke-on-Trent North,E14000973,!,44200,!,!,!,44200,!,!,5000,44200,11.4,4.3,2000,44200,4.6,2.8,11400,44200,25.7,5.9,6400,44200,14.5,4.8,5500,44200,12.4,4.5,10600,44200,23.9,5.8,2900,44200,6.6,3.4,36700,44200,83.1,5.1
pca10:Stoke-on-Trent South,E14000974,!,43600,!,!,900,43600,2.0,*,7400,43600,17.0,5.0,2600,43600,6.0,3.2,9000,43600,20.6,5.4,5100,43600,11.7,4.3,3900,43600,8.9,3.8,11800,43600,27.0,5.9,2700,43600,6.1,3.2,32400,43600,74.2,5.8
pca10:Stone,E14000975,!,43300,!,!,!,43300,!,!,4700,43300,10.9,*,2400,43300,5.4,*,10000,43300,23.0,9.7,1500,43300,3.5,*,7400,43300,17.0,8.6,13800,43300,31.8,10.7,2600,43300,6.0,*,35200,43300,81.3,8.9
pca10:Stourbridge,E14000976,!,44000,!,!,600,44000,1.5,*,2600,44000,5.9,3.7,5200,44000,11.8,5.1,6900,44000,15.6,5.7,3000,44000,6.7,3.9,5600,44000,12.7,5.2,15900,44000,36.3,7.6,3600,44000,8.3,4.3,35000,44000,79.6,6.3
pca10:Stratford-on-Avon,E14000977,!,44900,!,!,!,44900,!,!,7200,44900,16.1,6.7,1100,44900,2.5,*,7300,44900,16.1,6.7,4900,44900,11.0,5.7,9900,44900,22.0,7.5,10800,44900,24.0,7.8,1800,44900,4.0,*,34600,44900,77.1,7.6
pca10:Sutton Coldfield,E14000985,!,60800,!,!,!,60800,!,!,7000,60800,11.5,6.2,2900,60800,4.7,*,7200,60800,11.8,6.3,7300,60800,12.0,*,10400,60800,17.1,7.3,22400,60800,36.9,9.4,3300,60800,5.4,*,50600,60800,83.2,7.3
pca10:Tamworth,E14000986,!,47400,!,!,!,47400,!,!,8500,47400,17.9,7.9,2100,47400,4.4,*,12700,47400,26.9,9.1,5600,47400,11.7,6.6,6700,47400,14.1,7.2,8600,47400,18.1,7.9,2300,47400,4.8,*,35800,47400,75.7,8.8
pca10:Telford,E14000989,!,43400,!,!,1100,43400,2.6,*,6800,43400,15.8,4.2,2500,43400,5.8,2.7,9500,43400,22.0,4.8,3500,43400,8.1,3.1,5400,43400,12.4,3.8,12100,43400,27.8,5.2,2000,43400,4.7,2.4,32500,43400,74.9,5.0
pca10:The Wrekin,E14000992,900,43900,2.0,*,700,43900,1.6,*,6100,43900,14.0,3.9,2500,43900,5.6,2.6,7500,43900,17.0,4.2,3300,43900,7.4,2.9,4900,43900,11.2,3.5,15300,43900,34.9,5.3,2700,43900,6.2,2.7,33700,43900,76.8,4.7
pca10:Walsall North,E14001011,!,38100,!,!,1200,38100,3.2,*,3600,38100,9.4,4.4,3600,38100,9.5,4.4,9400,38100,24.6,6.5,2800,38100,7.2,3.9,4400,38100,11.7,4.9,11400,38100,29.8,6.9,1500,38100,4.0,*,29400,38100,77.2,6.3
pca10:Walsall South,E14001012,!,53500,!,!,1000,53500,1.9,*,7900,53500,14.8,4.7,2200,53500,4.2,*,13300,53500,24.9,5.7,2300,53500,4.3,*,6000,53500,11.2,4.2,17600,53500,32.9,6.2,2700,53500,5.1,2.9,42000,53500,78.5,5.4
pca10:Warley,E14001016,!,51200,!,!,1200,51200,2.3,*,4900,51200,9.6,4.2,4200,51200,8.1,3.9,7300,51200,14.3,5.0,4600,51200,9.0,4.1,7500,51200,14.6,5.0,16500,51200,32.3,6.7,5000,51200,9.8,4.2,41000,51200,80.0,5.7
pca10:Warwick and Leamington,E14001019,!,48400,!,!,1000,48400,2.2,*,5200,48400,10.7,5.6,1500,48400,3.0,*,8700,48400,18.0,6.9,4500,48400,9.3,5.2,11100,48400,22.9,7.6,12000,48400,24.8,7.8,3200,48400,6.7,*,39500,48400,81.7,7.0
pca10:West Bromwich East,E14001029,!,37900,!,!,#,37900,2.5,*,6400,37900,16.8,6.2,2100,37900,5.6,*,7200,37900,19.0,6.5,3100,37900,8.1,4.6,6400,37900,17.0,6.3,10500,37900,27.6,7.5,1300,37900,3.4,*,28500,37900,75.1,7.2
pca10:West Bromwich West,E14001030,!,40700,!,!,1500,40700,3.7,*,5100,40700,12.5,5.2,2800,40700,6.8,3.9,7400,40700,18.2,6.0,4300,40700,10.7,4.8,4200,40700,10.4,4.8,13000,40700,31.9,7.3,1600,40700,4.0,*,30600,40700,75.1,6.8
pca10:West Worcestershire,E14001035,2900,39200,7.3,*,!,39200,!,!,4800,39200,12.3,6.5,3700,39200,9.3,*,5900,39200,15.0,7.1,1400,39200,3.6,*,5400,39200,13.8,6.9,12100,39200,31.0,9.2,2600,39200,6.6,*,27400,39200,69.9,9.1
pca10:Wolverhampton North East,E14001049,!,46400,!,!,900,46400,2.0,*,8100,46400,17.4,5.1,3500,46400,7.5,3.5,7900,46400,17.0,5.0,2800,46400,6.0,3.2,7600,46400,16.3,4.9,14800,46400,31.8,6.2,800,46400,1.8,*,33800,46400,72.9,6.0
pca10:Wolverhampton South East,E14001050,!,37300,!,!,!,37300,!,!,7400,37300,19.7,5.9,2200,37300,5.9,3.5,7800,37300,21.0,6.0,3800,37300,10.2,4.5,5000,37300,13.5,5.1,9200,37300,24.6,6.4,1000,37300,2.7,*,26900,37300,72.1,6.6
pca10:Wolverhampton South West,E14001051,!,40800,!,!,!,40800,!,!,5800,40800,14.2,4.8,1600,40800,4.0,*,7800,40800,19.1,5.4,3100,40800,7.7,3.7,4800,40800,11.8,4.4,14400,40800,35.3,6.6,2400,40800,5.9,3.2,32500,40800,79.7,5.5
pca10:Worcester,E14001052,!,55700,!,!,1300,55700,2.3,*,3800,55700,6.9,*,8000,55700,14.3,5.7,10900,55700,19.5,6.4,4100,55700,7.3,4.2,6700,55700,11.9,5.2,19300,55700,34.7,7.7,1100,55700,2.0,*,42000,55700,75.4,7.0
pca10:Wyre Forest,E14001058,!,46300,!,!,!,46300,!,!,5900,46300,12.8,6.3,5800,46300,12.6,6.3,7700,46300,16.6,7.0,3200,46300,6.8,*,6200,46300,13.3,6.4,12600,46300,27.2,8.4,3500,46300,7.6,*,33100,46300,71.6,8.5
pca10:Basildon and Billericay,E14000544,!,45000,!,!,!,45000,!,!,!,45000,!,!,5900,45000,13.0,*,8200,45000,18.1,8.7,4600,45000,10.1,*,7600,45000,16.9,8.5,12500,45000,27.9,10.1,2900,45000,6.5,*,35800,45000,79.5,9.1
pca10:Bedford,E14000552,!,51500,!,!,!,51500,!,!,4800,51500,9.4,4.8,4200,51500,8.2,4.5,10000,51500,19.4,6.5,4400,51500,8.5,4.6,9800,51500,19.1,6.4,16300,51500,31.7,7.6,1200,51500,2.4,*,41700,51500,81.0,6.4
pca10:Braintree,E14000590,!,48500,!,!,!,48500,!,!,5200,48500,10.7,*,5300,48500,11.0,*,7300,48500,15.1,7.7,6200,48500,12.8,7.2,4700,48500,9.7,*,12600,48500,26.0,9.4,4800,48500,10.0,*,35700,48500,73.6,9.5
pca10:Brentwood and Ongar,E14000594,!,49900,!,!,!,49900,!,!,3900,49900,7.9,*,5200,49900,10.5,*,2600,49900,5.1,*,4400,49900,8.8,*,17200,49900,34.5,12.0,9700,49900,19.5,10.0,4000,49900,8.0,*,37900,49900,75.9,10.8
pca10:Broadland,E14000603,!,48600,!,!,!,48600,!,!,2600,48600,5.3,*,2800,48600,5.7,*,8600,48600,17.7,7.7,6000,48600,12.3,6.6,12000,48600,24.7,8.7,11700,48600,24.1,8.6,3900,48600,8.1,*,42200,48600,86.8,6.8
pca10:Broxbourne,E14000606,!,55700,!,!,!,55700,!,!,2600,55700,4.8,*,7300,55700,13.1,6.8,10700,55700,19.2,8.0,4500,55700,8.1,*,12500,55700,22.4,8.4,14500,55700,26.0,8.9,3200,55700,5.8,*,45400,55700,81.6,7.8
pca10:Bury St Edmunds,E14000613,1300,54100,2.4,*,!,54100,!,!,7000,54100,12.9,6.1,2300,54100,4.2,*,8100,54100,15.0,6.5,5300,54100,9.7,5.4,8600,54100,16.0,6.7,19700,54100,36.4,8.8,1100,54100,2.1,*,42800,54100,79.2,7.4
pca10:Cambridge,E14000617,!,67100,!,!,!,67100,!,!,6100,67100,9.0,5.3,!,67100,!,!,10100,67100,15.1,6.6,6000,67100,8.9,5.2,9100,67100,13.6,6.3,30800,67100,45.9,9.2,3100,67100,4.7,*,59100,67100,88.1,6.0
pca10:Castle Point,E14000622,!,45600,!,!,!,45600,!,!,5600,45600,12.3,*,5000,45600,10.9,*,5800,45600,12.6,*,3900,45600,8.6,*,7100,45600,15.6,8.5,12300,45600,26.9,10.4,5200,45600,11.4,*,34200,45600,75.0,10.1
pca10:Central Suffolk and North Ipswich,E14000624,1600,52100,3.1,*,1500,52100,2.8,*,1900,52100,3.6,*,4500,52100,8.7,5.3,7200,52100,13.9,6.5,4100,52100,7.8,*,12400,52100,23.8,8.0,14400,52100,27.6,8.4,4100,52100,7.9,5.1,42200,52100,81.0,7.4
pca10:Chelmsford,E14000628,!,64300,!,!,!,64300,!,!,2000,64300,3.0,*,2900,64300,4.5,*,9400,64300,14.7,6.9,9600,64300,15.0,7.0,14500,64300,22.6,8.2,22200,64300,34.5,9.3,2900,64300,4.5,*,58700,64300,91.3,5.5
pca10:Clacton,E14000642,!,27800,!,!,!,27800,!,!,1900,27800,7.0,*,1900,27800,6.8,*,3300,27800,11.9,*,3300,27800,12.0,*,4000,27800,14.4,*,9000,27800,32.3,13.7,4400,27800,15.7,*,24000,27800,86.2,10.1
pca10:Colchester,E14000644,!,61500,!,!,!,61500,!,!,3400,61500,5.5,*,3600,61500,5.9,*,9800,61500,15.9,6.6,3900,61500,6.3,*,12200,61500,19.9,7.2,24400,61500,39.7,8.8,3500,61500,5.7,*,53700,61500,87.4,6.0
pca10:Epping Forest,E14000693,!,53800,!,!,!,53800,!,!,!,53800,!,!,3000,53800,5.5,*,6000,53800,11.2,6.4,4000,53800,7.4,*,19900,53800,37.1,9.8,13800,53800,25.7,8.9,4800,53800,9.0,*,48600,53800,90.4,6.0
pca10:Great Yarmouth,E14000717,!,42200,!,!,!,42200,!,!,1900,42200,4.4,*,!,42200,!,!,13100,42200,31.0,11.9,5600,42200,13.3,*,7500,42200,17.7,9.8,11500,42200,27.3,11.5,!,42200,!,!,38300,42200,90.9,7.4
pca10:Harlow,E14000729,!,44800,!,!,!,44800,!,!,5800,44800,12.9,*,3100,44800,6.9,*,7100,44800,15.7,8.4,5500,44800,12.3,7.6,7000,44800,15.5,8.4,14400,44800,32.1,10.8,!,44800,!,!,34500,44800,77.0,9.7
pca10:Harwich and North Essex,E14000734,!,41200,!,!,!,41200,!,!,2500,41200,6.1,*,3400,41200,8.4,*,8000,41200,19.4,9.3,2800,41200,6.8,*,5900,41200,14.3,8.2,13100,41200,31.9,10.9,4200,41200,10.2,*,34000,41200,82.5,8.9
pca10:Hemel Hempstead,E14000739,!,52800,!,!,!,52800,!,!,5700,52800,10.8,6.3,5200,52800,9.8,*,10300,52800,19.5,8.0,4700,52800,9.0,*,11600,52800,21.9,8.3,12300,52800,23.4,8.5,2000,52800,3.8,*,41000,52800,77.6,8.4
pca10:Hertford and Stortford,E14000744,!,57700,!,!,!,57700,!,!,4600,57700,8.0,4.8,2100,57700,3.6,*,10500,57700,18.2,6.9,4800,57700,8.3,*,18500,57700,32.1,8.3,13100,57700,22.7,7.5,3600,57700,6.2,*,50400,57700,87.4,5.9
pca10:Hertsmere,E14000745,!,54400,!,!,!,54400,!,!,2400,54400,4.4,*,3900,54400,7.1,*,8800,54400,16.2,8.7,6000,54400,11.0,*,11700,54400,21.5,9.7,18200,54400,33.4,11.1,3500,54400,6.5,*,48200,54400,88.5,7.5
pca10:Hitchin and Harpenden,E14000749,!,48100,!,!,!,48100,!,!,2600,48100,5.3,*,3600,48100,7.5,*,4000,48100,8.3,*,6900,48100,14.4,7.1,11600,48100,24.1,8.6,14700,48100,30.6,9.3,3400,48100,7.2,*,40700,48100,84.5,7.3
pca10:Huntingdon,E14000757,!,57200,!,!,!,57200,!,!,6200,57200,10.8,5.9,4100,57200,7.1,*,13000,57200,22.8,8.0,5100,57200,8.8,*,6200,57200,10.8,5.9,17000,57200,29.8,8.7,5300,57200,9.2,5.5,46600,57200,81.5,7.4
pca10:Ipswich,E14000761,!,56500,!,!,!,56500,!,!,2600,56500,4.6,*,3000,56500,5.2,*,9900,56500,17.5,6.9,7900,56500,13.9,6.3,10200,56500,18.1,7.0,18300,56500,32.3,8.5,3400,56500,6.1,*,49700,56500,88.0,5.9
pca10:Luton North,E14000800,!,54800,!,!,!,54800,!,!,5800,54800,10.7,3.2,4600,54800,8.3,2.8,10300,54800,18.8,4.0,7200,54800,13.2,3.5,7200,54800,13.2,3.5,16400,54800,29.9,4.7,2800,54800,5.1,2.2,43900,54800,80.1,4.1
pca10:Luton South,E14000801,!,55100,!,!,1000,55100,1.9,*,4200,55100,7.7,2.8,4100,55100,7.5,2.8,14000,55100,25.4,4.6,5700,55100,10.4,3.2,8300,55100,15.0,3.8,15400,55100,27.9,4.8,1600,55100,2.8,1.8,45000,55100,81.6,4.1
pca10:Maldon,E14000806,!,40700,!,!,!,40700,!,!,2200,40700,5.3,*,7100,40700,17.5,9.2,5800,40700,14.3,*,3800,40700,9.3,*,8600,40700,21.2,9.9,8100,40700,20.0,9.7,3500,40700,8.6,*,29800,40700,73.4,10.7
pca10:Mid Bedfordshire,E14000813,!,62200,!,!,!,62200,!,!,6800,62200,11.0,4.8,6900,62200,11.2,4.8,7600,62200,12.2,5.0,6400,62200,10.3,4.6,12200,62200,19.7,6.0,17500,62200,28.1,6.8,4400,62200,7.0,3.9,48000,62200,77.2,6.4
pca10:Mid Norfolk,E14000816,!,56700,!,!,!,56700,!,!,5700,56700,10.0,5.5,3200,56700,5.6,*,11400,56700,20.2,7.3,1800,56700,3.1,*,9000,56700,15.9,6.7,21200,56700,37.3,8.8,3400,56700,6.1,*,46800,56700,82.5,6.9
pca10:North East Bedfordshire,E14000841,1400,66400,2.1,*,1000,66400,1.6,*,5400,66400,8.2,4.0,5200,66400,7.8,3.9,12600,66400,18.9,5.7,5500,66400,8.2,4.0,11800,66400,17.7,5.6,19900,66400,30.0,6.7,3300,66400,5.0,3.2,53000,66400,79.9,5.9
pca10:North East Cambridgeshire,E14000842,1700,56700,2.9,*,!,56700,!,!,11000,56700,19.5,8.2,3700,56700,6.5,*,6100,56700,10.7,6.4,5100,56700,9.0,*,9100,56700,16.0,7.6,15000,56700,26.4,9.1,3900,56700,6.8,*,39100,56700,69.0,9.6
pca10:North East Hertfordshire,E14000845,!,59300,!,!,!,59300,!,!,5700,59300,9.6,5.2,6300,59300,10.6,5.4,10100,59300,17.0,6.6,3500,59300,5.9,*,7700,59300,12.9,5.9,19700,59300,33.2,8.3,5100,59300,8.7,4.9,46000,59300,77.7,7.3
pca10:North Norfolk,E14000848,!,32700,!,!,!,32700,!,!,2700,32700,8.4,*,4200,32700,12.7,*,8100,32700,24.8,11.0,4400,32700,13.6,*,4100,32700,12.4,*,3300,32700,10.2,*,5100,32700,15.7,*,25100,32700,76.7,10.8
pca10:North West Cambridgeshire,E14000855,!,73600,!,!,!,73600,!,!,7300,73600,9.9,3.4,8100,73600,11.0,3.5,11800,73600,16.1,4.1,9900,73600,13.5,3.8,14600,73600,19.8,4.5,16900,73600,23.0,4.7,3200,73600,4.4,2.3,56500,73600,76.8,4.7
pca10:North West Norfolk,E14000859,!,48900,!,!,!,48900,!,!,8400,48900,17.1,7.1,1900,48900,3.8,*,13700,48900,27.9,8.5,1900,48900,3.9,*,6600,48900,13.6,6.5,13000,48900,26.7,8.3,2700,48900,5.5,*,38000,48900,77.6,7.9
pca10:Norwich North,E14000863,!,51600,!,!,2200,51600,4.3,*,5100,51600,9.9,*,5400,51600,10.4,*,10000,51600,19.4,8.6,2600,51600,5.1,*,10000,51600,19.3,8.6,13500,51600,26.2,9.5,!,51600,!,!,37700,51600,73.2,9.6
pca10:Norwich South,E14000864,!,52300,!,!,!,52300,!,!,2600,52300,5.0,*,!,52300,!,!,12100,52300,23.1,9.3,2900,52300,5.5,*,7300,52300,14.0,7.7,21500,52300,41.0,10.8,4400,52300,8.5,*,48200,52300,92.2,5.9
pca10:Peterborough,E14000878,!,52900,!,!,900,52900,1.6,*,6500,52900,12.3,3.8,2500,52900,4.7,2.4,11100,52900,21.0,4.7,5600,52900,10.6,3.5,8400,52900,15.9,4.2,15700,52900,29.6,5.2,2200,52900,4.2,2.3,43000,52900,81.4,4.5
pca10:Rayleigh and Wickford,E14000888,!,56000,!,!,!,56000,!,!,4900,56000,8.7,*,8000,56000,14.3,6.7,7000,56000,12.5,6.3,8300,56000,14.9,6.8,13500,56000,24.1,8.2,11600,56000,20.7,7.7,2100,56000,3.8,*,42500,56000,75.9,8.2
pca10:Rochford and Southend East,E14000899,!,49100,!,!,~,49100,0.8,*,3900,49100,8.0,2.8,3600,49100,7.4,2.7,7100,49100,14.5,3.7,3700,49100,7.6,2.8,15300,49100,31.2,4.9,11600,49100,23.6,4.5,3100,49100,6.3,2.6,40800,49100,83.2,3.9
pca10:Saffron Walden,E14000910,!,64600,!,!,!,64600,!,!,5600,64600,8.6,*,5800,64600,8.9,*,14300,64600,22.1,7.8,4000,64600,6.2,*,15000,64600,23.3,8.0,14800,64600,23.0,7.9,2500,64600,3.9,*,50700,64600,78.4,7.8
pca10:South Basildon and East Thurrock,E14000933,!,48700,!,!,900,48700,1.9,*,1900,48700,4.0,2.8,4500,48700,9.3,4.1,7700,48700,15.9,5.2,6000,48700,12.4,4.7,11500,48700,23.6,6.0,13700,48700,28.1,6.4,2300,48700,4.8,3.0,41300,48700,84.7,5.1
pca10:South Cambridgeshire,E14000934,!,56900,!,!,!,56900,!,!,5300,56900,9.3,5.0,2100,56900,3.6,*,7000,56900,12.2,5.6,10800,56900,19.0,6.7,8300,56900,14.6,6.1,19700,56900,34.7,8.2,3100,56900,5.4,*,48800,56900,85.8,6.0
pca10:South East Cambridgeshire,E14000937,!,62100,!,!,!,62100,!,!,7700,62100,12.4,5.4,5700,62100,9.1,4.7,7800,62100,12.6,5.4,9900,62100,16.0,6.0,12500,62100,20.1,6.6,14600,62100,23.4,6.9,3200,62100,5.2,*,48000,62100,77.3,6.9
pca10:South Norfolk,E14000941,1300,57600,2.2,*,!,57600,!,!,6900,57600,12.0,6.2,2300,57600,4.0,*,9300,57600,16.1,7.0,!,57600,!,!,13200,57600,22.9,8.0,20900,57600,36.2,9.2,1700,57600,2.9,*,46200,57600,80.2,7.6
pca10:South Suffolk,E14000946,!,47400,!,!,1400,47400,2.9,*,6300,47400,13.2,6.6,3600,47400,7.5,*,7400,47400,15.5,7.1,3000,47400,6.3,*,9100,47400,19.2,7.7,14800,47400,31.2,9.0,2000,47400,4.1,*,36200,47400,76.4,8.3
pca10:South West Bedfordshire,E14000949,!,62200,!,!,!,62200,!,!,4900,62200,7.9,4.2,6500,62200,10.4,4.7,11100,62200,17.9,6.0,4300,62200,6.9,3.9,14100,62200,22.6,6.5,16200,62200,26.1,6.8,2600,62200,4.2,*,48300,62200,77.7,6.5
pca10:South West Hertfordshire,E14000951,!,53000,!,!,!,53000,!,!,2100,53000,4.0,*,5400,53000,10.2,6.3,3800,53000,7.3,*,5400,53000,10.3,6.3,13100,53000,24.7,8.9,18700,53000,35.3,9.9,3300,53000,6.2,*,44400,53000,83.8,7.6
pca10:South West Norfolk,E14000952,3200,51500,6.2,*,#,51500,2.7,*,6600,51500,12.9,6.4,4800,51500,9.3,5.6,10600,51500,20.6,7.7,3100,51500,6.1,*,7700,51500,15.0,6.8,12900,51500,25.0,8.3,!,51500,!,!,35100,51500,68.1,8.9
pca10:Southend West,E14000957,!,50800,!,!,!,50800,!,!,3000,50800,6.0,2.3,3300,50800,6.5,2.4,6400,50800,12.6,3.2,4300,50800,8.5,2.7,13600,50800,26.8,4.3,15900,50800,31.3,4.5,3800,50800,7.6,2.5,44100,50800,86.8,3.2
pca10:St Albans,E14000960,!,53800,!,!,!,53800,!,!,6100,53800,11.3,*,3100,53800,5.7,*,10000,53800,18.6,8.5,7900,53800,14.6,7.7,14300,53800,26.6,9.7,10500,53800,19.5,8.7,!,53800,!,!,43800,53800,81.3,8.5
pca10:Stevenage,E14000968,!,58400,!,!,2600,58400,4.5,*,3800,58400,6.5,*,4600,58400,7.8,*,7300,58400,12.6,6.4,5300,58400,9.0,*,5700,58400,9.8,5.7,26500,58400,45.3,9.6,2700,58400,4.6,*,47500,58400,81.2,7.5
pca10:Suffolk Coastal,E14000981,!,45200,!,!,1700,45200,3.7,*,1900,45200,4.1,*,5200,45200,11.6,6.0,6600,45200,14.6,6.7,5600,45200,12.3,6.2,6900,45200,15.3,6.8,15200,45200,33.5,8.9,2300,45200,5.0,*,36500,45200,80.6,7.5
pca10:Thurrock,E14000995,~,65900,0.6,*,900,65900,1.4,*,3700,65900,5.7,2.2,7400,65900,11.2,2.9,13100,65900,19.8,3.7,9000,65900,13.6,3.2,10400,65900,15.8,3.4,17300,65900,26.3,4.1,3800,65900,5.7,2.2,53500,65900,81.2,3.6
pca10:Watford,E14001021,!,66500,!,!,!,66500,!,!,3200,66500,4.8,*,2100,66500,3.2,*,11700,66500,17.6,7.7,12600,66500,18.9,7.9,14800,66500,22.3,8.4,19600,66500,29.5,9.2,1800,66500,2.7,*,60500,66500,91.0,5.8
pca10:Waveney,E14001022,!,48400,!,!,1300,48400,2.6,*,5000,48400,10.4,*,4800,48400,9.9,6.1,9900,48400,20.5,8.3,2700,48400,5.6,*,7100,48400,14.6,7.3,13500,48400,27.8,9.2,3400,48400,7.0,*,36600,48400,75.6,8.8
pca10:Welwyn Hatfield,E14001027,!,62300,!,!,!,62300,!,!,2200,62300,3.5,*,8000,62300,12.9,6.7,12600,62300,20.2,8.0,3400,62300,5.4,*,15800,62300,25.3,8.7,16100,62300,25.8,8.7,3700,62300,6.0,*,51600,62300,82.8,7.5
pca10:West Suffolk,E14001034,2400,64000,3.7,*,!,64000,!,!,8300,64000,12.9,6.5,9900,64000,15.4,7.0,13200,64000,20.6,7.8,4400,64000,6.8,*,8600,64000,13.5,6.6,13700,64000,21.4,8.0,3600,64000,5.7,*,43500,64000,68.0,9.1
pca10:Witham,E14001045,!,43200,!,!,!,43200,!,!,5200,43200,12.0,7.7,3700,43200,8.6,*,8800,43200,20.4,9.5,3400,43200,7.8,*,9900,43200,22.8,9.9,9400,43200,21.8,9.7,2300,43200,5.3,*,33800,43200,78.2,9.8
pca10:Barking,E14000540,!,64300,!,!,!,64300,!,!,4600,64300,7.2,4.1,8200,64300,12.7,5.3,18600,64300,29.0,7.3,3800,64300,6.0,3.8,6900,64300,10.7,5.0,17500,64300,27.2,7.1,3400,64300,5.3,*,50300,64300,78.1,6.6
pca10:Battersea,E14000549,!,74700,!,!,!,74700,!,!,3300,74700,4.4,*,2500,74700,3.4,*,5600,74700,7.5,*,7200,74700,9.6,*,27000,74700,36.1,9.6,19600,74700,26.3,8.8,8100,74700,10.8,6.2,67600,74700,90.4,5.9
pca10:Beckenham,E14000551,!,45400,!,!,!,45400,!,!,!,45400,!,!,2800,45400,6.3,*,5100,45400,11.3,6.5,2900,45400,6.3,*,15300,45400,33.8,9.7,16400,45400,36.0,9.8,1600,45400,3.4,*,41300,45400,90.8,5.9
pca10:Bermondsey and Old Southwark,E14000553,!,77600,!,!,!,77600,!,!,1600,77600,2.0,*,4500,77600,5.8,*,8400,77600,10.8,5.3,10100,77600,13.1,5.7,26300,77600,33.9,8.0,20200,77600,26.1,7.5,4700,77600,6.0,*,69700,77600,89.8,5.1
pca10:Bethnal Green and Bow,E14000555,!,92700,!,!,!,92700,!,!,3200,92700,3.5,*,#,92700,2.3,*,11000,92700,11.9,5.8,17000,92700,18.3,7.0,27800,92700,30.0,8.2,22000,92700,23.8,7.6,9500,92700,10.2,5.4,87300,92700,94.2,4.2
pca10:Bexleyheath and Crayford,E14000558,!,43600,!,!,!,43600,!,!,1200,43600,2.8,*,6600,43600,15.2,6.6,8100,43600,18.7,7.2,4000,43600,9.1,5.3,8900,43600,20.3,7.4,12100,43600,27.8,8.3,2100,43600,4.8,*,35200,43600,80.7,7.3
pca10:Brent Central,E14000591,!,60300,!,!,!,60300,!,!,!,60300,!,!,3300,60300,5.4,*,10900,60300,18.1,10.0,7500,60300,12.5,*,15900,60300,26.4,11.4,17200,60300,28.6,11.7,!,60300,!,!,52800,60300,87.7,8.5
pca10:Brent North,E14000592,!,74700,!,!,!,74700,!,!,!,74700,!,!,6500,74700,8.7,*,11900,74700,16.0,8.1,8400,74700,11.3,7.0,19800,74700,26.5,9.7,24600,74700,32.9,10.4,2100,74700,2.8,*,66900,74700,89.5,6.8
pca10:Brentford and Isleworth,E14000593,!,78500,!,!,!,78500,!,!,3400,78500,4.3,*,3000,78500,3.8,*,6800,78500,8.7,*,11300,78500,14.4,7.0,18700,78500,23.8,8.5,23700,78500,30.1,9.2,9100,78500,11.5,6.4,69500,78500,88.5,6.4
pca10:Bromley and Chislehurst,E14000604,!,53600,!,!,!,53600,!,!,!,53600,!,!,2900,53600,5.3,*,8900,53600,16.5,6.9,3900,53600,7.2,*,20800,53600,38.7,9.1,14000,53600,26.2,8.2,2100,53600,3.9,*,49600,53600,92.5,4.9
pca10:Camberwell and Peckham,E14000615,!,77800,!,!,!,77800,!,!,2000,77800,2.6,*,2800,77800,3.7,*,16900,77800,21.8,7.2,7800,77800,10.0,5.2,18100,77800,23.2,7.4,21900,77800,28.2,7.9,6900,77800,8.9,5.0,71600,77800,92.1,4.7
pca10:Carshalton and Wallington,E14000621,!,51000,!,!,!,51000,!,!,1100,51000,2.2,*,3700,51000,7.2,4.0,7000,51000,13.7,5.4,7600,51000,15.0,5.6,14800,51000,29.1,7.1,12800,51000,25.1,6.8,3400,51000,6.7,3.9,45700,51000,89.6,4.8
pca10:Chelsea and Fulham,E14000629,!,50100,!,!,!,50100,!,!,!,50100,!,!,3000,50100,5.9,*,5200,50100,10.4,4.9,3700,50100,7.3,*,20400,50100,40.7,7.8,13100,50100,26.2,7.0,3500,50100,7.1,4.1,45900,50100,91.7,4.4
